Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Campilobacterota	A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.25671774597749	0.0165302948025292	1.65302948025292	1796
Bacteria	Campilobacterota	A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.43248825577051	0.0292776656028138	2.92776656028138	2697
Bacteria	Campilobacterota	A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.6341748717626	0.0514087455883233	5.14087455883233	4297
Bacteria	Campilobacterota	A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Campilobacterota	2.65561858354122	0.0518780664360975	5.18780664360975	4515
Bacteria	Campilobacterota	B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.13193929521042	0.015744068173571	1.5744068173571	1345
Bacteria	Campilobacterota	B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.50174372962799	0.0325072152665797	3.25072152665797	3165
Bacteria	Campilobacterota	B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.28735377271475	0.0164171733169843	1.64171733169843	1928
Bacteria	Campilobacterota	B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.08671566394488	0.0109181723105774	1.09181723105774	1211
Bacteria	Campilobacterota	B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.16106838547117	0.0149116080495741	1.49116080495741	1439
Bacteria	Campilobacterota	B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.29468662427944	0.0197691415897979	1.97691415897979	1961
Bacteria	Campilobacterota	B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.56995881809659	0.0486539724228496	4.86539724228496	3705
Bacteria	Campilobacterota	B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Campilobacterota	2.56702636615906	0.0337432032202753	3.37432032202753	3680
